schema_version,sport_id,venue_id,event_id,event_slug,market_id,market_slug,market_type,provider_game_id,sport_game_key,native_game_id,home_team,away_team,scheduled_start_utc,trading_status,active,closed,line,rules_hash,rules_text,long_team,short_team,home_outcome_id,away_outcome_id,mapping_status,mapping_evidence,first_observed_at_utc,updated_at_utc
polymarket_v1,nfl,polymarket_us,101466,nfl-det-buf-2026-09-17,657964,aec-nfl-det-buf-2026-09-17,moneyline,19470,nfl:2026_02_DET_BUF,2026_02_DET_BUF,BUF,DET,2026-09-18T00:15:00Z,MARKET_STATUS_OPEN,True,False,,967b242ad5e398e6,"This market will settle to the winner of the Detroit Lions vs Buffalo Bills professional football game scheduled for Sep 17, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",DET,BUF,1315441,1315440,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""BUF"", ""away"": ""DET"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101467,nfl-phi-ten-2026-09-20,657966,aec-nfl-phi-ten-2026-09-20,moneyline,19478,nfl:2026_02_PHI_TEN,2026_02_PHI_TEN,TEN,PHI,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,d19d6f1074b55486,"This market will settle to the winner of the Philadelphia Eagles vs Tennessee Titans professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",PHI,TEN,1315445,1315444,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""TEN"", ""away"": ""PHI"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101470,nfl-car-atl-2026-09-20,657975,aec-nfl-car-atl-2026-09-20,moneyline,19471,nfl:2026_02_CAR_ATL,2026_02_CAR_ATL,ATL,CAR,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,a53c2a1e0a973955,"This market will settle to the winner of the Carolina Panthers vs Atlanta Falcons professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CAR,ATL,1315463,1315462,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""ATL"", ""away"": ""CAR"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101474,nfl-cle-tb-2026-09-20,657986,aec-nfl-cle-tb-2026-09-20,moneyline,19477,nfl:2026_02_CLE_TB,2026_02_CLE_TB,TB,CLE,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,20d63d044c41fcc8,"This market will settle to the winner of the Cleveland Browns vs Tampa Bay Buccaneers professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CLE,TB,1315485,1315484,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""TB"", ""away"": ""CLE"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101468,nfl-pit-ne-2026-09-20,657969,aec-nfl-pit-ne-2026-09-20,moneyline,19475,nfl:2026_02_PIT_NE,2026_02_PIT_NE,NE,PIT,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,1463fda713e80449,"This market will settle to the winner of the Pittsburgh Steelers vs New England Patriots professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",PIT,NE,1315451,1315450,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""NE"", ""away"": ""PIT"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101473,nfl-cin-hou-2026-09-20,657983,aec-nfl-cin-hou-2026-09-20,moneyline,19474,nfl:2026_02_CIN_HOU,2026_02_CIN_HOU,HOU,CIN,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,64f8bcad217e4e0f,"This market will settle to the winner of the Cincinnati Bengals vs Houston Texans professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",CIN,HOU,1315479,1315478,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""HOU"", ""away"": ""CIN"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101472,nfl-no-bal-2026-09-20,657980,aec-nfl-no-bal-2026-09-20,moneyline,19472,nfl:2026_02_NO_BAL,2026_02_NO_BAL,BAL,NO,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,078a68d8c3c42d00,"This market will settle to the winner of the New Orleans Saints vs Baltimore Ravens professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",NO,BAL,1315473,1315472,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""BAL"", ""away"": ""NO"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101469,nfl-min-chi-2026-09-20,657972,aec-nfl-min-chi-2026-09-20,moneyline,19473,nfl:2026_02_MIN_CHI,2026_02_MIN_CHI,CHI,MIN,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,faa37a9acce9cc16,"This market will settle to the winner of the Minnesota Vikings vs Chicago Bears professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",MIN,CHI,1315457,1315456,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""CHI"", ""away"": ""MIN"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101471,nfl-gb-nyj-2026-09-20,657978,aec-nfl-gb-nyj-2026-09-20,moneyline,19476,nfl:2026_02_GB_NYJ,2026_02_GB_NYJ,NYJ,GB,2026-09-20T17:00:00Z,MARKET_STATUS_OPEN,True,False,,48c92cd371421902,"This market will settle to the winner of the Green Bay Packers vs New York Jets professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",GB,NYJ,1315469,1315468,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""NYJ"", ""away"": ""GB"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
polymarket_v1,nfl,polymarket_us,101475,nfl-jax-den-2026-09-20,657989,aec-nfl-jax-den-2026-09-20,moneyline,19479,nfl:2026_02_JAX_DEN,2026_02_JAX_DEN,DEN,JAX,2026-09-20T20:05:00Z,MARKET_STATUS_OPEN,True,False,,58bdf53b3c45e2b6,"This market will settle to the winner of the Jacksonville Jaguars vs Denver Broncos professional football game scheduled for Sep 20, 2026. Overtime is included if played. If the game ends in a tie, the market will settle to $0.50. If the game is delayed, postponed, or suspended and not rescheduled to a date within two days of the originally scheduled date, the market will settle to the last fair market price. Outcome sourced from the relevant governing body.",JAX,DEN,1315491,1315490,mapped,"{""reason"": ""unique_teams_and_start"", ""home"": ""DEN"", ""away"": ""JAX"", ""delta_min"": 0.0, ""tolerance_minutes"": 45}",2026-09-16T05:00:05Z,2026-09-16T05:01:46Z
